text,label
"uit . rst goedhartig en van nature verdraagzaam de bevolking iv Noord - Brabant , die best dt vergelijking kan doorstaan met die te Lutjebroek ( ik leer de Noordbrabantera persoonlijk waardeeren ) ook moge zijn , zal ook de massa aldaar , ten platteulande inzonderheid , Volgzaam zijn eu blijven jegens haar geestelijkheid . Zelfs een zoo voclzi . j_ . ig ontwikkeld en vrijheidlievemd man als de Montalembert betoonde die ondergeschiktheid , al was dat bij hem dan",3
"Bij vroegere socialistische bewegingen in Amerika hebben wij wel eens gewaagd van zekeren Kearney . Die stokebrand is ook thans weer dapper aan het werk , en het succes , dat hij onder de massa heeft , maakt reeds menigeen voor de naaste toekomst ernstig ongerust . Men verbeelde zich , te midden der ellende , welke de industriëele crisissen in het land deden ontstaan , een vurig volksleider , hartstochtelijk , en beschikkende",0
"ervaring van Indië en van de zeden en gewoonten van Indië ' s bevolking heeft opgedaan , zal dit bezoek , geheel afgescheiden van het bezwaar dat voor de schatkist daaruit volgt , veel meer slecht dan goed voor de massa achten . Ik zal dat in het kort aantoonen , en wensch te zeggen , dat ik op het gezag van een vijftienjarige ondervinding spreek . De lezers zullen begrijpen , dat er in het Bengaalsche gedeelte van het",5
"Weda gelegen , en dat de resident bezig was een groote macht uit Ternate , Tidore en Batjan te verzamelen , ten einde hem in die schuilplaats « an te vallen . Volgens berichten van den resident zal de groote massa der bevolking van Patani en Maba zich onderwerpen , zoodra de resident zich aldaar vertoont , doch de hoofden dier plaatsen willen Hassan tot het einde toe getrouw blijven , evenals de bende van 200 Alfoeren die hem vergezelt",5
"niet al te veel gewicht te hechten , maar het : zwaartepunt der verdediging U « fcllen in noord - oostelijk Bulgarije in , de i linie Ciernawodo - K - uslendje . JT - ; Sedert verscheidenedagen worden groote massa ' s troepen van Schumla naar Rustschuk getrokken . Ü3ze ' moeten blijkbaar dienen om de reserve van het hier ! geconcentreerde hoofd » leger te vormen . ilLn mag hieruit opmaken ; dat Abdul Kerirn Pacha dea hoofdaanval",1
"maarschalk Bazaine is echter goed met het oorlogstei rein bekend en heeft deze verrassing Terwacht . | Kanonnen , roitrailleuscn , geweren alles braakt vaur . De Pruisische houwitser » verpletteren als hagel de Franschen , de mitraiileusen werpen in massa de Pruisische neêr . De levenden nemen de plaats der dooden in . Negm en een half uur duurt de hardnekkige slachting en alleen de stikdonkere nacht doet het vuren ophouden . By JeaumoDt waren de toonneelen niet minder",1
"scholen bouwen voor 103 863 kindaren . Wellicht vindt meu ' t vreemd , dat bedoelde commissie iv t schoolverzuim een aanleiding vond om minder scholen ° P te richten ; maar men bedenke wel dat over zulk een groote massa een gemiddeld getal van 23 935 wegblijvers een groot verschil in kosten geeft ; beveudien werd aleeu ' t schoolverzuim wegens natuurlijke oorzaken , als t ] ekte enz . , in aanmerking genomen . Van do tien afdeelingen",2
"zijn vrouw * """" ■ wveel minder deinokratisch dan ik vroeger geweest * as , omdat wij , zoolang de opvoeding zoo jammer . k onvolmaakt blijft , de onkunde en vooral de zelfzucht en de onbeschoftheid van de groote massa freesden . """" Maar aan de meeste van zyn overige Jeugdige overtuigingen is hij zyn leven lang getrouw gebleven , ofschoon hij weldra leeren moest , dat zij dringend aanvulling behoefden . Aan de ernstige bezwaren , waartoe hem",3
"als een macht , om den invloed van den middelstand , die bijna overal voor vrijheid en zelfbestuur is , te fnuiken ten voordeele van het persoonlijk Gezag . Maar , zoodra het twijfelachtig , wordt , of de groote massa dien dienst wel meer zou willen bewjjzen , verkoelt de ingenomenheid met dat algemeene stemmen . De commissie voor de petitiën had dan ook gunstig geadviseerd , en hoewel de Senaat deze conclusie verwierp , was het toch onmiskenbaar",0
"den trein behoorde . Zoo naderde de menigte een brug over de - kali Tjikoenten , die al wat oud wns en sedert lang den belangstellenden blik van distriktshoofd gemist had , en nu bleek niet tegen den druk der massa menschen meer bestand te zijn . Juist was de voorste draagstoel , waarin het meisje met afgevijlde tanden zat onder de hoede van twee oude buurvrouwen , op het midden der brug gekomen , toen deze bezweek en zijn",6
