task,model,true,predicted,count
sentiment,bert-base-historic-dutch-cased,NEGATIVE,NEGATIVE,7
sentiment,bert-base-historic-dutch-cased,NEGATIVE,POSITIVE,7
sentiment,bert-base-historic-dutch-cased,NEGATIVE,NEUTRAL,0
sentiment,bert-base-historic-dutch-cased,POSITIVE,NEGATIVE,2
sentiment,bert-base-historic-dutch-cased,POSITIVE,POSITIVE,64
sentiment,bert-base-historic-dutch-cased,POSITIVE,NEUTRAL,0
sentiment,bert-base-historic-dutch-cased,NEUTRAL,NEGATIVE,2
sentiment,bert-base-historic-dutch-cased,NEUTRAL,POSITIVE,7
sentiment,bert-base-historic-dutch-cased,NEUTRAL,NEUTRAL,0
sentiment,multilingual-e5-base,NEGATIVE,NEGATIVE,1
sentiment,multilingual-e5-base,NEGATIVE,POSITIVE,13
sentiment,multilingual-e5-base,NEGATIVE,NEUTRAL,0
sentiment,multilingual-e5-base,POSITIVE,NEGATIVE,0
sentiment,multilingual-e5-base,POSITIVE,POSITIVE,66
sentiment,multilingual-e5-base,POSITIVE,NEUTRAL,0
sentiment,multilingual-e5-base,NEUTRAL,NEGATIVE,0
sentiment,multilingual-e5-base,NEUTRAL,POSITIVE,9
sentiment,multilingual-e5-base,NEUTRAL,NEUTRAL,0
sentiment,bert-base-multilingual-uncased,NEGATIVE,NEGATIVE,5
sentiment,bert-base-multilingual-uncased,NEGATIVE,POSITIVE,9
sentiment,bert-base-multilingual-uncased,NEGATIVE,NEUTRAL,0
sentiment,bert-base-multilingual-uncased,POSITIVE,NEGATIVE,1
sentiment,bert-base-multilingual-uncased,POSITIVE,POSITIVE,65
sentiment,bert-base-multilingual-uncased,POSITIVE,NEUTRAL,0
sentiment,bert-base-multilingual-uncased,NEUTRAL,NEGATIVE,2
sentiment,bert-base-multilingual-uncased,NEUTRAL,POSITIVE,6
sentiment,bert-base-multilingual-uncased,NEUTRAL,NEUTRAL,1
sentiment,robbert-v2-dutch-base,NEGATIVE,NEGATIVE,9
sentiment,robbert-v2-dutch-base,NEGATIVE,POSITIVE,5
sentiment,robbert-v2-dutch-base,NEGATIVE,NEUTRAL,0
sentiment,robbert-v2-dutch-base,POSITIVE,NEGATIVE,1
sentiment,robbert-v2-dutch-base,POSITIVE,POSITIVE,65
sentiment,robbert-v2-dutch-base,POSITIVE,NEUTRAL,0
sentiment,robbert-v2-dutch-base,NEUTRAL,NEGATIVE,2
sentiment,robbert-v2-dutch-base,NEUTRAL,POSITIVE,7
sentiment,robbert-v2-dutch-base,NEUTRAL,NEUTRAL,0
sentiment,bert-base-multilingual-uncased-sentiment,NEGATIVE,NEGATIVE,8
sentiment,bert-base-multilingual-uncased-sentiment,NEGATIVE,POSITIVE,6
sentiment,bert-base-multilingual-uncased-sentiment,NEGATIVE,NEUTRAL,0
sentiment,bert-base-multilingual-uncased-sentiment,POSITIVE,NEGATIVE,7
sentiment,bert-base-multilingual-uncased-sentiment,POSITIVE,POSITIVE,59
sentiment,bert-base-multilingual-uncased-sentiment,POSITIVE,NEUTRAL,0
sentiment,bert-base-multilingual-uncased-sentiment,NEUTRAL,NEGATIVE,3
sentiment,bert-base-multilingual-uncased-sentiment,NEUTRAL,POSITIVE,6
sentiment,bert-base-multilingual-uncased-sentiment,NEUTRAL,NEUTRAL,0
