text,label
"wilde de jonge geleider van een beer , in weerwil van het verbod van de politie , te Utrecht zijne kunstverrigtingen doen vertoonen ; hij trotseerde alle vermaningen en bood zelfs feitelijken weerstand aan de politie . Vergezeld van eene massa straatjongens , bereikte hij een nachtkwartier in de Watersteeg ; een zich in dit logement reeds bevindende broeder van den begeleider snelde naar buiten , vatte den beer aan en bragt hem , niettegenstaande zich reeds voor den ingang",1
"Bjj zjjn optreden in ' GG werd liet Kabinet Heemskerk door do grooto massa der Anti - revolutionairen , met uitbundig vrengdehetoon begroet . Ons goede volk dacbt in ernst , dat het nu zijn Ministerie kreeg . Er is in den eenvoud der oprechtheid voor het optreden van Heemskerk ' s eerste",1
"leven te doen treden : de maatschappij behoeft zich slechts aan onze eischen te onderwerpen ! "" Om echter dergelijke taal te mogen voeren , is het als een eer . te vereischte te beschouwer - , dat men andere massa ' s achter zich hebbe , dan het hoopje van hoogstens 14 , 000 aanhangers . Intusschen arbeiden de sociaal - democraten yverig voort , o * a hunne rijen t ; verdubbelen , honderdvoudig te verdubbelen zoo mogelijk",0
"van een ongenooden bruinen gast dezen , in weerwil van het verbod van de politie , aldaar zijne kunstverrigtingen doen vertoonen ; de jengdige Zwitser trotseerde alle vermaningen en bood zelfs feitelijken weerstand aan de politie . Vergezeld van eene massa straatjongens , bereikte hij een nachtkwartier in de Watersteeg , een zich in dit logement reeds bevindende broeder van den begeleider snelde naar buiten , vatte den beer aan en bragt hem , niettegenstaande zich reeds voor den ingang",1
"moot het ministerie maar niet rek . nen , wan ; neer kot ernstig aan de organisatie van het openbaar | gezag begint . Maar tegenover deze drie fractiön , die ! hoogstens 200 leden tellen , staat een belangrijke massa i van conservatieven en liberalen , die door den nood der omstandigheden tot toenadering worden genoopt . De monarchie is onmogelijk geworden . Van het keizerrijk behoeft men niet te sprek « n ; uit de verwerping van do",0
"een bruinen Alpenbeer dezen , in weerwil van het verbod der politie , op de Utrecht8che kermis zijne kunstverrigtingen doen vertoonen . De jeugdige Zwitzer trotseerde alle vermaningen en bood zelfs feitelijken weerstand aan de politie . Vergezeld van eene massa straatjongens bereikte hij een nachtkwartier in de Watersteeg ; een zich in dit logement reeds bevindende broeder van den begeleider snelde naar buiten , vatte den beer aan , nam hem , niettegenstaande zich voor den ingang van het",1
", o . ' als een razende stortte de matroos zich tusschen de iv grooten getale toegestroomde Inlanders en Chineezen links en rechts slagen en stompen uitdeelende . Nu eens vluchtte alles verward dooreen . dan drong men weder in massa tegen den verwoeden varens ; gast in , maar deze bleef steeds meester van het terrein en liet het rijtuig niet vertrekken . Ten laatste naderden eenige stoutmoedige Chineezen , die den mau van achteren aanpakten en op den",1
"— Wanneer dit / / laten teekenen van onmondigen / / reeds hier op zoo groote schaal geschiedt , zegt een BerJ ' jnsch blad , wat moet men dan wel denken van de samenstelling der ultramontaansche zoogenaamde demonstraties in massa . Men wil Bismarck , wanneer hij van Kissiugen terugkomt , te Berlijn esn groot feest geven . Er is sprake van , dat de Keizer en de Kroonprins iv den herfst aan de nieuwe Bijkslanden een bezoek zr",0
", doch heeft men het digtbij gelegen woonhuis mogen behouden . — Niets was tegen brandschade verzekerd . . XJtreclit 25 Julij . Gisteren omstreeks ll 1 / , ure liep in den omtrek der Katharijne - barrière eene groote massa volks te zamen , om getuige te zijn van een gelukkig niet alledaagsch schouwspel : een gevecht tnsschen twee politie - agcnten . Wat de oorzaak was van hun twist , is niet bekend ; misschien wel dat de",1
", vóórdat zij tijd gehad hadden de planten te beschadigen . Stervende van honger , van alle kanten vervolgd , in verwarring gebracht , vermoeid , besloten de gevleugelde phalanxen om eensklaps , wat het ook kosten mocht , in massa neer te vallen . En vóór de zon was ondergegaan waren do akkers , de weiden , de heesters , de boomen geel geworden , verdwenen _g geheel en al onder het heirleger verslinders , dat zich overal aan",1
"Zwollerkerspel . Op den tweeden Paaschdag is die wei in een kermisterrein herschapen . Duizenden kinderen , gewawapend met blanke netjes , gevuld met gekleurde eijeren , sinaasappelen , noten enz . komen daar te zamen , om met de massa nieuwsgierigen eens lustig pret te maken . Alleraardigst is het , om te zien , hoe de kleinen op die uitgestrekte weide rondhuppelen , met sinaasappelen en noten spelen , hoe de jongens vooral zich oefenen in het eijeren",1
"Zwollerkerspel . Op den tweeden paaschdag is die wei in een feestterrein herschapen . Duizende kinderen , gewapend niet blanke netjes , gevuld met gekleurde eieren , sinaasappelen , noten enz . komen daar te zamen , om met de massa nieuwsgierigen eens lustig pret te maken . Aardig is het , te zien hoe die kleinen op de uitgestrekte weide rondhuppelen , met de medegebrachte voorwerpen spelen , hoe de jongens vooral zich oefenen in het eieren - tikken",1
"in een kermisterrein herschapen . Duizende kinderen van alle rangen en standen , gewapend met blanke netjes en gevuld met gekleurde eijeren , sina ' s appelen , noten , enz . komen daar te zamen , om met de massa nieuwsgierigen eens lustig pret te maken . Curieus is het , om te zien , hoe die kleinen , op die uitgestrekte weide rondhuppelen , met sina ' s appelen en noten spelen , hoe de jongenB vooral zich",1
"massa steeds dieper in armoede . Terwijl zij slechts weinigen in staat stelt paleizen te bouwen , grootsche parken aan te leggen , meer dan vorstelijke praal ten toon te spreiden , kostbare gastmalen te houden , brengt zij de massa steeds meer en meer er toe hare toevlucht te zoeken in de ellendigste vertrekken , in lompen gekleed rond te loopen en zich met een weinig aardappelen en wat zout tot voedsel te vergenoegen . Daarby is de arbeid",0
"gillt te krijgen . Men wil liever een oude beproefde constitutie mot vele ge breken er in behouden , dan eene uien we , onbeproefde aannemen , al is die nieuwe dan ook oogenschijnlijk beter dan de oude . De massa der bevolking wil do leiders , de doldriftlge volksmenners , die zich met den naam van vooruitgangs - mannen betitelen . niet volgen , maar slaat — uil vrees voor het nieuwe — dikwijls naar eene andere verkoelde rigting",0
". De intogt was inderdaad verrassend eu maakte een schitterend effeot . De booten weiden allen door beogealsch vnnr verlicht , terwi . il tal van vuurpijl » - . ! onophoudelijk door de lucht - / weefden . Ken massa menscheu was op de be o . In dp concertzaal is daarna nog een concert gehouden , dat met een vrij geanimeerd bal werd besloten .",1
"brand zijn aangaande het feit zelf niet te vermelden . Daarentegen wordt zeer ernstig geklaagd over de schandelijke houding der burgerij bij deze gelegenheid . Het gelukte der politie en der brandweer niet dan met de uiterste moeite de groote massa volk , die in de straat waar de brand woedde , en in de omliggende straten opeengehoopt stond , van daar te verwijderen . Op de slangen werd getrapt , die niet dan met de grootste krachtsinspanning werden gelegd",1
"vergund hadden zich daar in vci ' } ighcïd te fclellca . Hen gedeelte volks had do straat voor het telegraaf bureel bezet om te voorkomen , dat n - » ar Ziêrikzee om hulp geseind werd . Da grootste massa bleef op den veldwachbr wachten en deed hem door do spitsroeden loopen toen hij weer hr . itcu kv . ui . . . De geinccuie - icidwaehter geraakte onder den voet , docli werd niet mishandeld . Anders",1
"li - k van waar , zij bet ook met behulp van optische instrumenten , maar iets te zien was — telde men een of meer toeschouwers . Waar van den vlakken grond liet gezicht belfetnmerd werd . door de massa die men voor ' zich had , beklommen de schouwlustigen stoelen en tafels ; daarachter werden de stoelen op de tafels iczet , — het was dus waarlijk wel een pyramidaal xiioces , dat de Japanners hadden , en",1
"de maires aarzelde niet hun die te geven , zoodat de meerderheid , die in een helderziend oogenblik het keizerrijk krachtig had veroordeeld , zich zachtjes aan heeft overgeleverd aan de genade van dat keizerrijk . Inmiddels bewerkte men de massa door stelselmatig het land , dat naar een definitieven toestand hunkerde , in den onbepaalden voorloopigen toestand te laten . De stoutheid dezer partijgangers wast steeds . Le Prevost de Launay zinspeelde nog maar op den voorspoed onder de",0
"dat de 100 — 120 dames van alle standen die aanwezig waren , in lastige posities werden gebracht en ook de mannen naar meerdere ruimte verlangden . Toen eene stem daarop riep unaar de Tonhalle "" , besloot de groote massa naar dat veel ruimere lokaal te trekken en daar te wachten op de Commissie , die , met het oog op het gedrang , niet ongenegen was de vergadering daar te verplaatsen . De Tonhalle was echter dien avond",1
"nienaße ; * de Eur . < . zijn : hnks - v ën - regis ~ ver « "" spreid . ' Gisteren zijn • de heeren Alsjineten al heel erg beziggeweest ; - zij kwamen weder met gêheele massa * met ' hunne vaandels en voor - op öós af en waren meest in - het wit gekleed . maar kwamen van èeueVkoude ker » "" mis té huis : wij Waren > too J als altijd op",1
"snel van de plaats te verwijderen , door ruimte voor de slangen te diaken , de brandweer zou hebben geholpen . Verre van daar . Het gelukte der politie en der brandweer niet dan met de uiterste moeite de groote massa volk , die in de straat , waar de brand woedde , en in de omliggende straten opeengehoopt Stond , van daar te verwijderen . Met eigen oogen zag onze verslaggever , hoe op de slangen werd getrapt ,",1
"te zijn , ofschoon zij hem aanvankelijk vergund hadden zich daar in veiligheid te stellen Een gedeelte volks had de straat voor het telegraaf bureel bezet om te voorkomen , dat naar Zierikzee om hulp geseind werd . De grootste massa bleef op den veldwachter wachten en deed hem door de spitsroeden loopen , toen hij w eer buiten kwam . De gemeente - veldwachter geraakt * onder den voet , doeh werd niet mishandeld . Anders verging het den",1
"° et ten tweeden male in het water ; het dier spartelt weer « • oo iairg , dat het den wal bereikte . Nu werpt h | j ten derdenmale het beest te water . Er was reeds een massa "" handelaars op den Cingel blijven staan toezien , doch men fcon zoo zien , dat ieder verontwaardigd was ; een kreet * » n afkeuring klonk den man dan ook te gemoet . De hond bereikt weder den",1
"ooit , wetende dat de Eegeering den moed niet heeft tusschenbeide te komen . Voor den generalen raad stellen zij overal afzonderlijke candidaten , alsof Sedan reeds lang vergeten is ; mogelijk hebben zij hierin recht , althans bij de massa die meent haar patriotisch gevoel genoeg te hebben gelucht , als zij een verwensching uitspreekt tegen ces misérables Prussiens . De gewezen vice - Keizer Rouher stelt zich in Puy de Dome candidaat . Eenige dagen geleden kwam hij",0
